plot,transect_ID,treatment,genotype,plot_grid,complexity,replicate_N_or_S,survey_number,month,day,year,date,visit,surveyor,cloud_cover(%),current,wind_speed,wind_direction,start_time,end_time,survey_elapsed_time,survey_type,SpeciesCode,common_name,SpeciesName,Genus,Family,Order,MaxLength,TrophicLevel,a,b,MajorTrophicGroup,SubTrophicGroup,FishingStatus,log a,L inf,grid_number,life_phase,TL,transit,plot_grid_survey,presence,biomass,density
LS,a,100L,K1,LS - 1,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,1,A,6,NA,LS - 1 - 4,1,5.160910339,5.063291139
LS,a,100L,K1,LS - 1,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,1,A,7,NA,LS - 1 - 4,1,8.38949656,5.063291139
LS,a,100L,K1,LS - 1,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-12,Dusky Damselfish,Stegastes dorsopunicans,Stegastes,Pomacentridae,Perciformes,15,2.5,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,15,1,A,12,NA,LS - 1 - 4,1,46.52674206,5.063291139
LS,a,100L,K1,LS - 1,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,1,A,11,NA,LS - 1 - 4,1,36.16446844,5.063291139
LS,a,100A,NA,LS - 2,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,2,A,10,NA,LS - 2 - 4,1,25.82090073,10.12658228
LS,a,100A,NA,LS - 2,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,2,A,10,NA,LS - 2 - 4,1,27.44261084,10.12658228
LS,a,100A,NA,LS - 2,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,2,A,12,NA,LS - 2 - 4,1,46.52674206,10.12658228
LS,a,100A,NA,LS - 2,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-02-11,Longfin Damselfish,Stegastes diencaeus,Stegastes,Pomacentridae,Perciformes,12,NA,0.0349,2.8956,Herbivore,Small Territorial Herbivore,Aquarium,-4.3479,12,2,A,12,NA,LS - 2 - 4,1,46.52674206,10.12658228
LS,a,100A,NA,LS - 2,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-04-11,Sergeant Major,Abudefduf saxatilis,Abudefduf,Pomacentridae,Perciformes,23,3.4,0.02227,3.142,Omnivore,Omnivore,Minor commercial,-4.7859,23,2,A,14,NA,LS - 2 - 4,1,88.89032727,10.12658228
LS,a,100A,NA,LS - 2,Low,S,4,June,2,2019,02-Jun-19,0,Kelsey,10,L,7,S,12:33:00,13:13:00,0:40:00,baseline recruit,346-04-11,Sergeant Major,Abudefduf saxatilis,Abudefduf,Pomacentridae,Perciformes,23,3.4,0.02227,3.142,Omnivore,Omnivore,Minor commercial,-4.7859,23,2,A,15,NA,LS - 2 - 4,1,110.4075958,10.12658228
