survey_number,grid_number,species_ID,life_phase,TL(cm),yes
4,1,Bicolor Damselfish,A,6,NA
4,1,Bicolor Damselfish,A,7,NA
4,1,Dusky Damselfish,A,12,NA
4,1,Longfin Damselfish,A,11,NA
4,2,Bicolor Damselfish,A,10,NA
4,2,Longfin Damselfish,A,10,NA
4,2,Longfin Damselfish,A,12,NA
4,2,Longfin Damselfish,A,12,NA
4,2,Sergeant Major,A,14,NA
4,2,Sergeant Major,A,15,NA
4,2,Sergeant Major,A,15,NA
4,2,Sergeant Major,A,16,NA
4,3,Bluehead Wrasse,J,4,NA
4,3,Bluehead Wrasse,J,4,NA
4,3,Bluehead Wrasse,J,4,NA
4,3,Bluehead Wrasse,J,5,NA
4,3,Bluehead Wrasse,J,5,NA
4,3,Bluehead Wrasse,J,5,NA
4,3,Bluehead Wrasse,J,6,NA
4,3,Bluehead Wrasse,J,6,NA
4,3,Bluehead Wrasse,J,6,NA
4,3,Bluehead Wrasse,J,6,NA
4,3,Bluehead Wrasse,J,7,NA
4,3,Bluehead Wrasse,J,7,NA
4,3,Bluehead Wrasse,J,7,NA
4,3,Bluehead Wrasse,J,7,NA
4,3,Bluehead Wrasse,J,8,NA
4,3,Bluehead Wrasse,J,8,NA
4,3,Bluehead Wrasse,J,8,NA
4,3,Bluehead Wrasse,J,8,NA
4,3,Bluehead Wrasse,J,9,NA
4,3,Bluehead Wrasse,J,9,NA
4,3,Bluehead Wrasse,J,9,NA
4,3,Bluehead Wrasse,J,10,NA
4,3,Bluehead Wrasse,J,10,NA
4,3,Bluehead Wrasse,J,10,NA
4,3,Clown Wrasse,J,8,NA
4,3,Striped Parrotfish,J,14,NA
4,3,Yellowhead Wrasse,J,10,NA
4,5,Bicolor Damselfish,A,4,NA
4,5,Bicolor Damselfish,A,6,NA
4,5,Bluehead Wrasse,J,4.5,NA
4,5,Goby sp. unid.,A,4,NA
4,5,Spanish Hogfish,J,4,NA
4,7,Bluehead Wrasse,A,8,yes
4,7,Bluehead Wrasse,A,10,yes
5,9,Bicolor Damselfish,J,2,NA
5,9,Bicolor Damselfish,J,3,NA
5,9,Bicolor Damselfish,A,5,NA
5,9,Bicolor Damselfish,A,6,NA
5,9,Bluehead Wrasse,J,3,NA
5,9,Bluehead Wrasse,J,4,NA
5,9,Bluehead Wrasse,J,4,NA
5,9,Bluehead Wrasse,J,5,NA
5,9,Pallid Goby,A,4,NA
5,9,Pallid Goby,A,5,NA
5,9,Puddingwife,J,7,NA
5,10,Blenny Family,A,2,NA
5,10,Bluehead Wrasse,J,4,NA
5,10,Bluehead Wrasse,J,4,NA
5,10,Bluehead Wrasse,J,4,NA
