survey_number,month,day,year,date,plot,visit,transect_ID,surveyor,cloud_cover(%),current,wind_speed,wind_direction,start_time,end_time,survey_elapsed_time,survey_type
1,June,2,2019,02-Jun-19,LS,0,a,Kelsey,10,L,7,S,10:57,NA,NA,baseline BFC
2,June,2,2019,02-Jun-19,LS,0,b,Taylor,10,L,7,S,NA,NA,NA,baseline BFC
3,June,2,2019,02-Jun-19,LS,0,c,Aneri,10,L,7,S,10:57,NA,NA,baseline BFC
4,June,2,2019,02-Jun-19,LS,0,a,Kelsey,10,L,7,S,12:33,13:13,0:40,baseline recruit
5,June,2,2019,02-Jun-19,LS,0,b,Taylor,10,L,7,S,NA,NA,NA,baseline recruit
6,June,2,2019,02-Jun-19,LS,0,c,Aneri,10,L,7,S,10:57,NA,NA,baseline recruit
7,June,2,2019,02-Jun-19,HS,0,a,Kelsey,10,L,7,S,14:30,14:42,0:12,baseline BFC
8,June,2,2019,02-Jun-19,HS,0,b,Taylor,10,L,7,S,NA,NA,NA,baseline BFC
9,June,2,2019,02-Jun-19,HS,0,c,Aneri,10,L,7,S,13:34,NA,NA,baseline BFC
10,June,2,2019,02-Jun-19,HS,0,a,Kelsey,10,L,7,S,14:30,14:42,0:12,baseline recruit
11,June,2,2019,02-Jun-19,HS,0,b,Taylor,10,L,7,S,NA,NA,NA,baseline recruit
12,June,2,2019,02-Jun-19,HS,0,c,Aneri,10,L,7,S,13:34,NA,NA,baseline recruit
13,June,3,2019,03-Jun-19,LN,0,a,Noelle,25,L,5,S,12:20,12:39,0:19,baseline recruit
14,June,3,2019,03-Jun-19,LN,0,a,Noelle,25,L,5,S,NA,NA,NA,baseline BFC
15,June,3,2019,03-Jun-19,LN,0,b,Kelsey,25,L,5,S,12:21,12:58,0:37,baseline recruit
16,June,3,2019,03-Jun-19,LN,0,b,Kelsey,25,L,5,S,12:21,12:21,0:00,baseline BFC
17,June,3,2019,03-Jun-19,LN,0,c,Noelle,25,L,5,S,12:59,13:27,0:28,baseline recruit
18,June,3,2019,03-Jun-19,LN,0,c,Noelle,25,L,5,S,NA,NA,NA,baseline BFC
19,June,3,2019,03-Jun-19,HN,0,a,Kelsey/Noelle,25,L,5,S,14:01,14:14,0:13,baseline recruit
20,June,3,2019,03-Jun-19,HN,0,a,Kelsey/Noelle,25,L,5,S,14:01,14:14,0:13,baseline BFC
