date,plot,days_since_outplanting
04-Jun-19,LS,1
05-Jun-19,LS,2
06-Jun-19,LS,3
07-Jun-19,LS,4
09-Jun-19,LS,6
11-Jun-19,LS,8
13-Jun-19,LS,10
15-Jun-19,LS,12
20-Jun-19,LS,17
25-Jun-19,LS,22
28-Jun-19,LS,25
02-Jul-19,LS,29
05-Jul-19,LS,32
09-Jul-19,LS,36
15-Jul-19,LS,42
20-Jul-19,LS,47
25-Jul-19,LS,52
28-Jul-19,LS,55
04-Jun-19,HS,1
05-Jun-19,HS,2
06-Jun-19,HS,3
07-Jun-19,HS,4
09-Jun-19,HS,6
11-Jun-19,HS,8
13-Jun-19,HS,10
15-Jun-19,HS,12
20-Jun-19,HS,17
25-Jun-19,HS,22
28-Jun-19,HS,25
02-Jul-19,HS,29
05-Jul-19,HS,32
09-Jul-19,HS,36
15-Jul-19,HS,42
20-Jul-19,HS,47
25-Jul-19,HS,52
28-Jul-19,HS,55
05-Jun-19,LN,1
06-Jun-19,LN,2
07-Jun-19,LN,3
09-Jun-19,LN,4
11-Jun-19,LN,5
13-Jun-19,LN,7
15-Jun-19,LN,9
20-Jun-19,LN,11
25-Jun-19,LN,13
28-Jun-19,LN,18
02-Jul-19,LN,23
05-Jul-19,LN,26
09-Jul-19,LN,30
15-Jul-19,LN,33
20-Jul-19,LN,37
25-Jul-19,LN,43
28-Jul-19,LN,48
05-Jun-19,HN,1
06-Jun-19,HN,2
07-Jun-19,HN,3
09-Jun-19,HN,4
11-Jun-19,HN,5
13-Jun-19,HN,7
15-Jun-19,HN,9
20-Jun-19,HN,11
25-Jun-19,HN,13
28-Jun-19,HN,18
02-Jul-19,HN,23
05-Jul-19,HN,26
09-Jul-19,HN,30
15-Jul-19,HN,33
20-Jul-19,HN,37
25-Jul-19,HN,43
28-Jul-19,HN,48
