"","plot","grid_number","date","rich","plot_grid","treatment","complexity","plot_date","days_since_outplanting"
"1","HN",1,"02-Jul-19",0,"HN - 1","30%","High","HN - 02-Jul-19",23
"2","HN",1,"05-Jul-19",1,"HN - 1","30%","High","HN - 05-Jul-19",26
"3","HN",1,"05-Jun-19",0,"HN - 1","30%","High","HN - 05-Jun-19",1
"4","HN",1,"06-Jun-19",0,"HN - 1","30%","High","HN - 06-Jun-19",2
"5","HN",1,"07-Jun-19",1,"HN - 1","30%","High","HN - 07-Jun-19",3
"6","HN",1,"09-Jul-19",1,"HN - 1","30%","High","HN - 09-Jul-19",30
"7","HN",1,"11-Jun-19",2,"HN - 1","30%","High","HN - 11-Jun-19",5
"8","HN",1,"13-Jun-19",1,"HN - 1","30%","High","HN - 13-Jun-19",7
"9","HN",1,"15-Jul-19",1,"HN - 1","30%","High","HN - 15-Jul-19",33
"10","HN",1,"15-Jun-19",0,"HN - 1","30%","High","HN - 15-Jun-19",9
"11","HN",1,"20-Jul-19",1,"HN - 1","30%","High","HN - 20-Jul-19",37
"12","HN",1,"20-Jun-19",1,"HN - 1","30%","High","HN - 20-Jun-19",11
"13","HN",1,"25-Jul-19",1,"HN - 1","30%","High","HN - 25-Jul-19",43
"14","HN",1,"25-Jun-19",4,"HN - 1","30%","High","HN - 25-Jun-19",13
"15","HN",1,"28-Jul-19",2,"HN - 1","30%","High","HN - 28-Jul-19",48
"16","HN",1,"28-Jun-19",1,"HN - 1","30%","High","HN - 28-Jun-19",18
"17","HN",2,"02-Jul-19",3,"HN - 2","70%","High","HN - 02-Jul-19",23
"18","HN",2,"05-Jul-19",2,"HN - 2","70%","High","HN - 05-Jul-19",26
"19","HN",2,"05-Jun-19",0,"HN - 2","70%","High","HN - 05-Jun-19",1
"20","HN",2,"06-Jun-19",1,"HN - 2","70%","High","HN - 06-Jun-19",2
"21","HN",2,"07-Jun-19",4,"HN - 2","70%","High","HN - 07-Jun-19",3
"22","HN",2,"09-Jul-19",1,"HN - 2","70%","High","HN - 09-Jul-19",30
"23","HN",2,"11-Jun-19",0,"HN - 2","70%","High","HN - 11-Jun-19",5
"24","HN",2,"13-Jun-19",1,"HN - 2","70%","High","HN - 13-Jun-19",7
"25","HN",2,"15-Jul-19",1,"HN - 2","70%","High","HN - 15-Jul-19",33
"26","HN",2,"15-Jun-19",0,"HN - 2","70%","High","HN - 15-Jun-19",9
"27","HN",2,"20-Jul-19",0,"HN - 2","70%","High","HN - 20-Jul-19",37
"28","HN",2,"20-Jun-19",1,"HN - 2","70%","High","HN - 20-Jun-19",11
"29","HN",2,"25-Jul-19",4,"HN - 2","70%","High","HN - 25-Jul-19",43
"30","HN",2,"25-Jun-19",1,"HN - 2","70%","High","HN - 25-Jun-19",13
"31","HN",2,"28-Jul-19",4,"HN - 2","70%","High","HN - 28-Jul-19",48
"32","HN",2,"28-Jun-19",0,"HN - 2","70%","High","HN - 28-Jun-19",18
"33","HN",3,"02-Jul-19",0,"HN - 3","50%","High","HN - 02-Jul-19",23
"34","HN",3,"05-Jul-19",0,"HN - 3","50%","High","HN - 05-Jul-19",26
"35","HN",3,"05-Jun-19",0,"HN - 3","50%","High","HN - 05-Jun-19",1
"36","HN",3,"06-Jun-19",0,"HN - 3","50%","High","HN - 06-Jun-19",2
"37","HN",3,"07-Jun-19",2,"HN - 3","50%","High","HN - 07-Jun-19",3
"38","HN",3,"09-Jul-19",2,"HN - 3","50%","High","HN - 09-Jul-19",30
"39","HN",3,"11-Jun-19",0,"HN - 3","50%","High","HN - 11-Jun-19",5
"40","HN",3,"13-Jun-19",1,"HN - 3","50%","High","HN - 13-Jun-19",7
"41","HN",3,"15-Jul-19",1,"HN - 3","50%","High","HN - 15-Jul-19",33
"42","HN",3,"15-Jun-19",0,"HN - 3","50%","High","HN - 15-Jun-19",9
"43","HN",3,"20-Jul-19",0,"HN - 3","50%","High","HN - 20-Jul-19",37
"44","HN",3,"20-Jun-19",0,"HN - 3","50%","High","HN - 20-Jun-19",11
"45","HN",3,"25-Jul-19",1,"HN - 3","50%","High","HN - 25-Jul-19",43
"46","HN",3,"25-Jun-19",0,"HN - 3","50%","High","HN - 25-Jun-19",13
"47","HN",3,"28-Jul-19",0,"HN - 3","50%","High","HN - 28-Jul-19",48
"48","HN",3,"28-Jun-19",1,"HN - 3","50%","High","HN - 28-Jun-19",18
"49","HN",4,"02-Jul-19",0,"HN - 4","control","High","HN - 02-Jul-19",23
"50","HN",4,"05-Jul-19",2,"HN - 4","control","High","HN - 05-Jul-19",26
"51","HN",4,"05-Jun-19",1,"HN - 4","control","High","HN - 05-Jun-19",1
"52","HN",4,"06-Jun-19",1,"HN - 4","control","High","HN - 06-Jun-19",2
"53","HN",4,"07-Jun-19",2,"HN - 4","control","High","HN - 07-Jun-19",3
"54","HN",4,"09-Jul-19",1,"HN - 4","control","High","HN - 09-Jul-19",30
"55","HN",4,"11-Jun-19",1,"HN - 4","control","High","HN - 11-Jun-19",5
"56","HN",4,"13-Jun-19",0,"HN - 4","control","High","HN - 13-Jun-19",7
"57","HN",4,"15-Jul-19",2,"HN - 4","control","High","HN - 15-Jul-19",33
"58","HN",4,"15-Jun-19",1,"HN - 4","control","High","HN - 15-Jun-19",9
"59","HN",4,"20-Jul-19",3,"HN - 4","control","High","HN - 20-Jul-19",37
"60","HN",4,"20-Jun-19",1,"HN - 4","control","High","HN - 20-Jun-19",11
"61","HN",4,"25-Jul-19",1,"HN - 4","control","High","HN - 25-Jul-19",43
"62","HN",4,"25-Jun-19",1,"HN - 4","control","High","HN - 25-Jun-19",13
"63","HN",4,"28-Jul-19",1,"HN - 4","control","High","HN - 28-Jul-19",48
"64","HN",4,"28-Jun-19",1,"HN - 4","control","High","HN - 28-Jun-19",18
"65","HN",5,"02-Jul-19",0,"HN - 5","70%","High","HN - 02-Jul-19",23
"66","HN",5,"05-Jul-19",0,"HN - 5","70%","High","HN - 05-Jul-19",26
"67","HN",5,"05-Jun-19",0,"HN - 5","70%","High","HN - 05-Jun-19",1
"68","HN",5,"06-Jun-19",0,"HN - 5","70%","High","HN - 06-Jun-19",2
"69","HN",5,"07-Jun-19",1,"HN - 5","70%","High","HN - 07-Jun-19",3
"70","HN",5,"09-Jul-19",2,"HN - 5","70%","High","HN - 09-Jul-19",30
"71","HN",5,"11-Jun-19",0,"HN - 5","70%","High","HN - 11-Jun-19",5
"72","HN",5,"13-Jun-19",0,"HN - 5","70%","High","HN - 13-Jun-19",7
"73","HN",5,"15-Jul-19",1,"HN - 5","70%","High","HN - 15-Jul-19",33
"74","HN",5,"15-Jun-19",0,"HN - 5","70%","High","HN - 15-Jun-19",9
"75","HN",5,"20-Jul-19",0,"HN - 5","70%","High","HN - 20-Jul-19",37
"76","HN",5,"20-Jun-19",3,"HN - 5","70%","High","HN - 20-Jun-19",11
"77","HN",5,"25-Jul-19",3,"HN - 5","70%","High","HN - 25-Jul-19",43
"78","HN",5,"25-Jun-19",1,"HN - 5","70%","High","HN - 25-Jun-19",13
"79","HN",5,"28-Jul-19",1,"HN - 5","70%","High","HN - 28-Jul-19",48
