plot,grid_number,date,abundance,plot_grid,treatment,complexity,plot_date,days_since_outplanting
HN,1,02-Jul-19,7,HN - 1,30%,High,HN - 02-Jul-19,23
HN,1,05-Jul-19,6,HN - 1,30%,High,HN - 05-Jul-19,26
HN,1,05-Jun-19,0,HN - 1,30%,High,HN - 05-Jun-19,1
HN,1,06-Jun-19,1,HN - 1,30%,High,HN - 06-Jun-19,2
HN,1,07-Jun-19,1,HN - 1,30%,High,HN - 07-Jun-19,3
HN,1,09-Jul-19,0,HN - 1,30%,High,HN - 09-Jul-19,30
HN,1,11-Jun-19,4,HN - 1,30%,High,HN - 11-Jun-19,5
HN,1,13-Jun-19,1,HN - 1,30%,High,HN - 13-Jun-19,7
HN,1,15-Jul-19,0,HN - 1,30%,High,HN - 15-Jul-19,33
HN,1,15-Jun-19,0,HN - 1,30%,High,HN - 15-Jun-19,9
HN,1,20-Jul-19,1,HN - 1,30%,High,HN - 20-Jul-19,37
HN,1,20-Jun-19,1,HN - 1,30%,High,HN - 20-Jun-19,11
HN,1,25-Jul-19,4,HN - 1,30%,High,HN - 25-Jul-19,43
HN,1,25-Jun-19,7,HN - 1,30%,High,HN - 25-Jun-19,13
HN,1,28-Jul-19,14,HN - 1,30%,High,HN - 28-Jul-19,48
HN,1,28-Jun-19,0,HN - 1,30%,High,HN - 28-Jun-19,18
HN,2,02-Jul-19,6,HN - 2,70%,High,HN - 02-Jul-19,23
HN,2,05-Jul-19,0,HN - 2,70%,High,HN - 05-Jul-19,26
HN,2,05-Jun-19,0,HN - 2,70%,High,HN - 05-Jun-19,1
HN,2,06-Jun-19,0,HN - 2,70%,High,HN - 06-Jun-19,2
HN,2,07-Jun-19,2,HN - 2,70%,High,HN - 07-Jun-19,3
HN,2,09-Jul-19,1,HN - 2,70%,High,HN - 09-Jul-19,30
HN,2,11-Jun-19,0,HN - 2,70%,High,HN - 11-Jun-19,5
HN,2,13-Jun-19,1,HN - 2,70%,High,HN - 13-Jun-19,7
HN,2,15-Jul-19,0,HN - 2,70%,High,HN - 15-Jul-19,33
HN,2,15-Jun-19,11,HN - 2,70%,High,HN - 15-Jun-19,9
HN,2,20-Jul-19,3,HN - 2,70%,High,HN - 20-Jul-19,37
HN,2,20-Jun-19,0,HN - 2,70%,High,HN - 20-Jun-19,11
HN,2,25-Jul-19,5,HN - 2,70%,High,HN - 25-Jul-19,43
HN,2,25-Jun-19,5,HN - 2,70%,High,HN - 25-Jun-19,13
HN,2,28-Jul-19,19,HN - 2,70%,High,HN - 28-Jul-19,48
HN,2,28-Jun-19,0,HN - 2,70%,High,HN - 28-Jun-19,18
HN,3,02-Jul-19,0,HN - 3,50%,High,HN - 02-Jul-19,23
HN,3,05-Jul-19,0,HN - 3,50%,High,HN - 05-Jul-19,26
HN,3,05-Jun-19,0,HN - 3,50%,High,HN - 05-Jun-19,1
