ind	block	plant	soil	region	geo_dist	height	time
1	10	KZ1	KZ1	KZ	0	10	3
1	10	KZ1	KZ1	KZ	0	19	6
1	10	KZ1	KZ1	KZ	0	30	9
1	10	KZ1	KZ1	KZ	0	41	12
1	10	KZ1	KZ1	KZ	0	44	15
1	10	KZ1	KZ1	KZ	0	45	18
2	12	KZ1	KZ1	KZ	0	9	3
2	12	KZ1	KZ1	KZ	0	12	6
2	12	KZ1	KZ1	KZ	0	29	9
2	12	KZ1	KZ1	KZ	0	45	12
2	12	KZ1	KZ1	KZ	0	50	15
2	12	KZ1	KZ1	KZ	0	49	18
3	25	KZ1	KZ1	KZ	0	11	3
3	25	KZ1	KZ1	KZ	0	22	6
3	25	KZ1	KZ1	KZ	0	35	9
3	25	KZ1	KZ1	KZ	0	50	12
3	25	KZ1	KZ1	KZ	0	55	15
3	25	KZ1	KZ1	KZ	0	55	18
4	2	KZ1	KZ1	KZ	0	9	3
4	2	KZ1	KZ1	KZ	0	13	6
4	2	KZ1	KZ1	KZ	0	24	9
4	2	KZ1	KZ1	KZ	0	25	12
4	2	KZ1	KZ1	KZ	0	35	15
4	2	KZ1	KZ1	KZ	0	35.5	18
5	10	KZ1	KZ1	KZ	0	5	3
5	10	KZ1	KZ1	KZ	0	17	6
5	10	KZ1	KZ1	KZ	0	29	9
5	10	KZ1	KZ1	KZ	0	43	12
5	10	KZ1	KZ1	KZ	0	49	15
5	10	KZ1	KZ1	KZ	0	49	18
6	23	KZ1	KZ1	KZ	0	13	3
6	23	KZ1	KZ1	KZ	0	16	6
6	23	KZ1	KZ1	KZ	0	25	9
6	23	KZ1	KZ1	KZ	0	41	12
6	23	KZ1	KZ1	KZ	0	44	15
6	23	KZ1	KZ1	KZ	0	47	18
7	9	KZ1	KZ1	KZ	0	11	3
7	9	KZ1	KZ1	KZ	0	17	6
7	9	KZ1	KZ1	KZ	0	32	9
7	9	KZ1	KZ1	KZ	0	42	12
7	9	KZ1	KZ1	KZ	0	44	15
7	9	KZ1	KZ1	KZ	0	47	18
8	25	KZ1	KZ1	KZ	0	6	3
8	25	KZ1	KZ1	KZ	0	13	6
8	25	KZ1	KZ1	KZ	0	28	9
8	25	KZ1	KZ1	KZ	0	38	12
8	25	KZ1	KZ1	KZ	0	44	15
8	25	KZ1	KZ1	KZ	0	46	18
9	25	KZ1	KZ1	KZ	0	11	3
9	25	KZ1	KZ1	KZ	0	23	6
9	25	KZ1	KZ1	KZ	0	33	9
9	25	KZ1	KZ1	KZ	0	43	12
9	25	KZ1	KZ1	KZ	0	44	15
9	25	KZ1	KZ1	KZ	0	44	18
10	5	KZ1	KZ1	KZ	0	14	3
10	5	KZ1	KZ1	KZ	0	27	6
10	5	KZ1	KZ1	KZ	0	39	9
10	5	KZ1	KZ1	KZ	0	45	12
10	5	KZ1	KZ1	KZ	0	44	15
10	5	KZ1	KZ1	KZ	0	43.5	18
71	23	KZ2	KZ2	KZ	0	18	3
71	23	KZ2	KZ2	KZ	0	26	6
71	23	KZ2	KZ2	KZ	0	36	9
71	23	KZ2	KZ2	KZ	0	43	12
71	23	KZ2	KZ2	KZ	0	53	15
71	23	KZ2	KZ2	KZ	0	56	18
