date,plot,days_since_outplanting
05-Jun-19,LS,1
06-Jun-19,LS,2
07-Jun-19,LS,3
09-Jun-19,LS,4
11-Jun-19,LS,5
13-Jun-19,LS,7
15-Jun-19,LS,9
20-Jun-19,LS,11
25-Jun-19,LS,13
28-Jun-19,LS,18
02-Jul-19,LS,23
05-Jul-19,LS,26
09-Jul-19,LS,30
15-Jul-19,LS,33
20-Jul-19,LS,37
25-Jul-19,LS,43
28-Jul-19,LS,48
05-Jun-19,HS,1
06-Jun-19,HS,2
07-Jun-19,HS,3
09-Jun-19,HS,4
11-Jun-19,HS,5
13-Jun-19,HS,7
15-Jun-19,HS,9
20-Jun-19,HS,11
25-Jun-19,HS,13
28-Jun-19,HS,18
02-Jul-19,HS,23
05-Jul-19,HS,26
09-Jul-19,HS,30
15-Jul-19,HS,33
20-Jul-19,HS,37
25-Jul-19,HS,43
28-Jul-19,HS,48
05-Jun-19,LN,1
06-Jun-19,LN,2
07-Jun-19,LN,3
09-Jun-19,LN,4
11-Jun-19,LN,5
13-Jun-19,LN,7
15-Jun-19,LN,9
20-Jun-19,LN,11
25-Jun-19,LN,13
28-Jun-19,LN,18
02-Jul-19,LN,23
05-Jul-19,LN,26
09-Jul-19,LN,30
15-Jul-19,LN,33
20-Jul-19,LN,37
25-Jul-19,LN,43
28-Jul-19,LN,48
05-Jun-19,HN,1
06-Jun-19,HN,2
07-Jun-19,HN,3
09-Jun-19,HN,4
11-Jun-19,HN,5
13-Jun-19,HN,7
15-Jun-19,HN,9
20-Jun-19,HN,11
25-Jun-19,HN,13
28-Jun-19,HN,18
02-Jul-19,HN,23
05-Jul-19,HN,26
09-Jul-19,HN,30
15-Jul-19,HN,33
20-Jul-19,HN,37
25-Jul-19,HN,43
28-Jul-19,HN,48
