,plot,transect_ID,treatment,genotype,plot_grid,complexity,replicate_N_or_S,survey_number,month,day,year,date,visit,time_block,surveyor,cloud_cover(%),current,wind_speed,wind_direction,start_time,end_time,survey_elapsed_time,survey_type,SpeciesCode,common_name,SpeciesName,Genus,Family,Order,MaxLength,TrophicLevel,a,b,MajorTrophicGroup,SubTrophicGroup,FishingStatus,log a,L inf,grid_number,life_phase,TL,transit,plot_grid_survey,plot_grid_visit
1,LS,a,100L,K1,LS - 1,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,395-00-00,Blenny Family,Blenniidae,Blenniidae,Blenniidae,Perciformes,12,NA,NA,NA,Herbivore,Small Territorial Herbivore,Aquarium,NA,12,1,A,1.8,NA,LS - 1 - 25,LS - 1 - 1
2,LS,a,100L,K1,LS - 1,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,320-01-05,Bluestriped Grunt,Haemulon sciurus,Haemulon,Haemulidae,Perciformes,46,3.4,0.0194,2.9996,Invertivore,Mobile Invert Feeder,Minor commercial,-4.7114,46,1,A,19,NA,LS - 1 - 25,LS - 1 - 1
3,LS,a,100L,K1,LS - 1,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,396-01-11,Roughead Blenny,Enneanectes boehlkei,Enneanectes,Tripterygiidae,Perciformes,4,NA,0.0141,3.05,Herbivore,Small Territorial Herbivore,Aquarium,NA,4,1,A,2,NA,LS - 1 - 25,LS - 1 - 1
4,LS,a,100L,K1,LS - 1,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,443-02-01,Sharpnose Puffer,Canthigaster rostrata,Canthigaster,Tetraodontidae,Tetraodontiformes,12,3,0.0197,2.9174,Omnivore,Omnivore,Aquarium,-3.9271,12,1,J,4,NA,LS - 1 - 25,LS - 1 - 1
5,LS,a,100L,K1,LS - 1,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,346-02-13,Threespot Damselfish,Stegastes planifrons,Stegastes,Pomacentridae,Perciformes,13,NA,0.0379,2.8569,Herbivore,Small Territorial Herbivore,Aquarium,-4.2782,13,1,A,13,NA,LS - 1 - 25,LS - 1 - 1
6,LS,a,100A,NA,LS - 2,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,346-02-16,Bicolor Damselfish,Stegastes partitus,Stegastes,Pomacentridae,Perciformes,10,NA,0.0182,3.1519,Herbivore,Small Territorial Herbivore,Aquarium,-4.8921,10,2,A,4.5,NA,LS - 2 - 25,LS - 2 - 1
7,LS,a,100A,NA,LS - 2,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,346-02-14,Cocoa Damselfish,Stegastes variabilis,Stegastes,Pomacentridae,Perciformes,12,NA,0.0324,2.8365,Herbivore,Small Territorial Herbivore,Aquarium,-4.3258,12,2,A,11.5,NA,LS - 2 - 25,LS - 2 - 1
8,LS,a,100A,NA,LS - 2,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,2,J,1.8,NA,LS - 2 - 25,LS - 2 - 1
9,LS,a,100A,NA,LS - 2,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,Aquarium,NA,5,2,J,1.8,NA,LS - 2 - 25,LS - 2 - 1
10,LS,a,100A,NA,LS - 2,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,316-02-01,Yellowtail Snapper,Ocyurus chrysurus,Ocyurus,Lutjanidae,Perciformes,86,3.9,0.0405,2.718,Planktivore,Planktivore-oceanic schooler,Moderate commercial,-4.1108,86,2,A,17,yes,LS - 2 - 25,LS - 2 - 1
11,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,409-01-02,Blue Tang,Acanthurus coeruleus,Acanthurus,Acanthuridae,Perciformes,39,2,0.0305,3,Herbivore,Roving Herbivore,Minor commercial,-4.2165,39,3,A,17,yes,LS - 3 - 25,LS - 3 - 1
12,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,5,NA,LS - 3 - 25,LS - 3 - 1
13,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,5,NA,LS - 3 - 25,LS - 3 - 1
14,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,5,NA,LS - 3 - 25,LS - 3 - 1
15,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,6,NA,LS - 3 - 25,LS - 3 - 1
16,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,6,NA,LS - 3 - 25,LS - 3 - 1
17,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,6,NA,LS - 3 - 25,LS - 3 - 1
18,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,358-05-11,Bluehead Wrasse,Thalassoma bifasciatum,Thalassoma,Labridae,Perciformes,25,3.3,0.0107,2.9162,Planktivore,Planktivore-oceanic schooler,Aquarium,-4.8865,25,3,J,6,NA,LS - 3 - 25,LS - 3 - 1
19,LS,a,50L50A,U63,LS - 3,Low,S,25,June,4,2019,04-Jun-19,1,start,Taylor,NA,NA,NA,NA,NA,NA,NA,recruit,409-01-01,Ocean Surgeonfish,Acanthurus bahianus,Acanthurus,Acanthuridae,Perciformes,38,2,0.0236,2.9752,Herbivore,Roving Herbivore,Minor commercial,-4.6005,38,3,A,16,NA,LS - 3 - 25,LS - 3 - 1
