SpeciesCode,CommonName,SpeciesName,Genus,Family,Order,MaxLength,TrophicLevel,a,b,MajorTrophicGroup,SubTrophicGroup,BehaviouralGroup,MedianPopDblTime,FishingStatus,log a,L inf,L-W parameter source,L-W region
409-01-02,Blue Tang,Acanthurus coeruleus,Acanthurus,Acanthuridae,Perciformes,39,2,0.0305,3,Herbivore,Roving Herbivore,,,Minor commercial,-4.2165,39,FishBase,St Croix
409-01-03,Doctorfish,Acanthurus chirurgus,Acanthurus,Acanthuridae,Perciformes,39,2,0.0041,3.5328,Herbivore,Roving Herbivore,,,Minor commercial,-5.9255,39,Bohnsack & Harper 1988,S Florida
409-01-01,Ocean Surgeonfish,Acanthurus bahianus,Acanthurus,Acanthuridae,Perciformes,38,2,0.0236,2.9752,Herbivore,Roving Herbivore,,,Minor commercial,-4.6005,38,Bohnsack & Harper 1988,S Florida
254-01-11,Trumpetfish,Aulostomus maculatus,Aulostomus,Aulostomidae,Syngnathiformes,100,4.3,0.004,2.8657,Carnivore,Carnivore - mainly fish,,,Minor commercial,-5.2686,100,Bohnsack & Harper 1988,S Florida
395-00-00,Blenny Family,Blenniidae,Blenniidae,Blenniidae,Perciformes,12,,,,Herbivore,Small Territorial Herbivore,,,Aquarium,,12,,
395-07-11,Seaweed Blenny,Parablennius marmoreus,Parablennius,Blenniidae,Perciformes,9,,0.0109,3.0249,Omnivore,Omnivore,,,Aquarium,,9,FishBase,Mean for Genus
306-02-16,Bar Jack,Carangoides ruber,Carangoides,Carangidae,Perciformes,59,3.8,0.018,2.99,Carnivore,Carnivore - mainly fish,,,Moderate commercial,-5.3687,59,FishBase,Cuba
394-01-13,Papillose Blenny,Acanthemblemaria chaplini,Acanthemblemaria,Chaenopsidae,Perciformes,4,,0.0077,2.962,Invertivore,Mobile Invert Feeder,,,Not Marketed/Unknown,,4,FishBase,mean for genus
394-01-19,Spinyhead Blenny,Acanthemblemaria spinosa,Acanthemblemaria,Chaenopsidae,Perciformes,3,,0.0077,2.962,Invertivore,Mobile Invert Feeder,,,Not Marketed/Unknown,,3,FishBase,Mean for Genus
394-01-15,Secretary Blenny,Acanthemblemaria maria,Acanthemblemaria,Chaenopsidae,Perciformes,5,,0.0077,2.96,Invertivore,Mobile Invert Feeder,,,Not Marketed/Unknown,,5,FishBase,Mean for Genus
338-01-13,Foureye Butterflyfish,Chaetodon capistratus,Chaetodon,Chaetodontidae,Perciformes,8,3.2,0.047,2.86,Invertivore,Sessile Invert Feeder,,,Aquarium,-3.0577,8,FishBase,Cuba
338-01-15,Spotfin Butterflyfish,Chaetodon ocellatus,Chaetodon,Chaetodontidae,Perciformes,20,3.2,0.0318,2.984,Invertivore,Sessile Invert Feeder,,,Aquarium,,20,FishBase,S Florida
338-01-17,Banded Butterflyfish,Chaetodon striatus,Chaetodon,Chaetodontidae,Perciformes,16,3.2,0.0222,3.14,Invertivore,Mobile Invert Feeder,,,Aquarium,-3.9077,16,FishBase,Southern Florida
403-01-01,Colon Goby,Coryphopterus dicrus,Coryphopterus,Gobiidae,Perciformes,5,2.5,0.0213,2.2835,Omnivore,Omnivore,,,Aquarium,,5,FishBase,Mean for Genus
403-01-04,Bridled Goby,Coryphopterus glaucofraenum,Coryphopterus,Gobiidae,Perciformes,8,2.7,0.0345,2.68,Omnivore,Omnivore,,,Aquarium,,8,FishBase,Cuba
403-05-01,Goldspot Goby,Gnatholepis thompsoni,Gnatholepis,Gobiidae,Perciformes,8,2.3,0.0035,3.766,Omnivore,Omnivore,,,Aquarium,,8,FishBase,"S Florida, n=9"
403-01-05,Masked Goby,Coryphopterus personatus,Coryphopterus,Gobiidae,Perciformes,4,2.7,0.0213,2.8235,Planktivore,"Planktivore-small, site-attached",,,Aquarium,-3.849,4,FishBase,Mean for Genus
403-01-03,Pallid Goby,Coryphopterus eidolon,Coryphopterus,Gobiidae,Perciformes,6,2.1,0.0213,2.2835,Herbivore,Small Territorial Herbivore,,,Aquarium,,6,FishBase,Mean for Genus
403-00-01,Goby sp. unid.,Goby sp.,Goby,Gobiidae,Perciformes,8,,,,Omnivore,Omnivore,,,Aquarium,,8,,
320-01-05,Bluestriped Grunt,Haemulon sciurus,Haemulon,Haemulidae,Perciformes,46,3.4,0.0194,2.9996,Invertivore,Mobile Invert Feeder,,,Minor commercial,-4.7114,46,Bohnsack & Harper 1988,S Florida
320-01-04,White Grunt,Haemulon plumierii,Haemulon,Haemulidae,Perciformes,53,3.5,0.0121,3.1612,Invertivore,Mobile Invert Feeder,,,Minor commercial,-5.0781,53,Bohnsack & Harper 1988,S Florida
320-02-01,Porkfish,Anisotremus virginicus,Anisotremus,Haemulidae,Perciformes,41,3.4,0.0148,3.167,Invertivore,Mobile Invert Feeder,Nocturnal,,Minor commercial,-4.2131,41,Bohnsack & Harper,Southern Florida
320-01-01,French Grunt,Haemulon flavolineatum,Haemulon,Haemulidae,Perciformes,30,3.3,0.0211,3,Invertivore,Mobile Invert Feeder,,,Moderate commercial,,30,FishBase,Puerto Rico
320-01-09,Spanish Grunt,Haemulon macrostomum,Haemulon,Haemulidae,Perciformes,43,3.3,0.0176,3.06,Invertivore,Mobile Invert Feeder,,,Minor commercial,,43,FishBase,Jamaica
320-01-11,White Margate,Haemulon album,Haemulon,Haemulidae,Perciformes,79,3.2,0.014,3.09,Invertivore,Mobile Invert Feeder,,,Moderate commercial,-4.8186,79,FishBase,Cuba
