"","plot","grid_number","date","abundance","plot_grid","treatment","complexity","plot_date","days_since_outplanting","days_comp","c.abun.mean","rabun"
"1","HN",1,"02-Jul-19",7,"HN - 1","30%","High","HN - 02-Jul-19",23,"23 - High",2.125,4.875
"2","HN",1,"05-Jul-19",6,"HN - 1","30%","High","HN - 05-Jul-19",26,"26 - High",1.5,4.5
"3","HN",1,"05-Jun-19",0,"HN - 1","30%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"4","HN",1,"06-Jun-19",1,"HN - 1","30%","High","HN - 06-Jun-19",2,"2 - High",3.75,-2.75
"5","HN",1,"07-Jun-19",1,"HN - 1","30%","High","HN - 07-Jun-19",3,"3 - High",1.875,-0.875
"6","HN",1,"09-Jul-19",0,"HN - 1","30%","High","HN - 09-Jul-19",30,"30 - High",0.75,-0.75
"7","HN",1,"11-Jun-19",4,"HN - 1","30%","High","HN - 11-Jun-19",5,"5 - High",2.375,1.625
"8","HN",1,"13-Jun-19",1,"HN - 1","30%","High","HN - 13-Jun-19",7,"7 - High",1.75,-0.75
"9","HN",1,"15-Jul-19",0,"HN - 1","30%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"10","HN",1,"15-Jun-19",0,"HN - 1","30%","High","HN - 15-Jun-19",9,"9 - High",2.75,-2.75
"11","HN",1,"20-Jul-19",1,"HN - 1","30%","High","HN - 20-Jul-19",37,"37 - High",4.75,-3.75
"12","HN",1,"20-Jun-19",1,"HN - 1","30%","High","HN - 20-Jun-19",11,"11 - High",5.125,-4.125
"13","HN",1,"25-Jul-19",4,"HN - 1","30%","High","HN - 25-Jul-19",43,"43 - High",1.625,2.375
"14","HN",1,"25-Jun-19",7,"HN - 1","30%","High","HN - 25-Jun-19",13,"13 - High",2.875,4.125
"15","HN",1,"28-Jul-19",14,"HN - 1","30%","High","HN - 28-Jul-19",48,"48 - High",2.625,11.375
"16","HN",1,"28-Jun-19",0,"HN - 1","30%","High","HN - 28-Jun-19",18,"18 - High",5.125,-5.125
"17","HN",2,"02-Jul-19",6,"HN - 2","70%","High","HN - 02-Jul-19",23,"23 - High",2.125,3.875
"18","HN",2,"05-Jul-19",0,"HN - 2","70%","High","HN - 05-Jul-19",26,"26 - High",1.5,-1.5
"19","HN",2,"05-Jun-19",0,"HN - 2","70%","High","HN - 05-Jun-19",1,"1 - High",0.25,-0.25
"20","HN",2,"06-Jun-19",0,"HN - 2","70%","High","HN - 06-Jun-19",2,"2 - High",3.75,-3.75
"21","HN",2,"07-Jun-19",2,"HN - 2","70%","High","HN - 07-Jun-19",3,"3 - High",1.875,0.125
"22","HN",2,"09-Jul-19",1,"HN - 2","70%","High","HN - 09-Jul-19",30,"30 - High",0.75,0.25
"23","HN",2,"11-Jun-19",0,"HN - 2","70%","High","HN - 11-Jun-19",5,"5 - High",2.375,-2.375
"24","HN",2,"13-Jun-19",1,"HN - 2","70%","High","HN - 13-Jun-19",7,"7 - High",1.75,-0.75
"25","HN",2,"15-Jul-19",0,"HN - 2","70%","High","HN - 15-Jul-19",33,"33 - High",2.375,-2.375
"26","HN",2,"15-Jun-19",11,"HN - 2","70%","High","HN - 15-Jun-19",9,"9 - High",2.75,8.25
"27","HN",2,"20-Jul-19",3,"HN - 2","70%","High","HN - 20-Jul-19",37,"37 - High",4.75,-1.75
"28","HN",2,"20-Jun-19",0,"HN - 2","70%","High","HN - 20-Jun-19",11,"11 - High",5.125,-5.125
"29","HN",2,"25-Jul-19",5,"HN - 2","70%","High","HN - 25-Jul-19",43,"43 - High",1.625,3.375
